ObjectID,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,X,Y,Latitude,Longitude,Schedule,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
427856,"Cupkates Bakery, LLC",Truck,101000,01ST ST: STEVENSON ST to JESSIE ST (21 - 56),50 01ST ST,3708055,3708,055,13MFF-0068,REQUESTED,Cupcakes,6013063.33,2115738.283,37.7901490737255,-122.398658184604,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0068&ExportPDF=1&Filename=13MFF-0068_schedule.pdf,,,Mar 14 2013  3:34PM,0,03/15/2013 12:00:00 AM,[37.7901490874965,-122.398658184594]
427795,Cheese Gone Wild,Truck,106000,01ST ST: NATOMA ST to HOWARD ST (165 - 199),400 HOWARD ST,3720008,3720,008,13MFF-0060,APPROVED,Grilled Cheese Sandwiches,6013858.06,2115347.095,37.7891192079118,-122.395881037818,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0060&ExportPDF=1&Filename=13MFF-0060_schedule.pdf,,06/06/2013 05:05:20 PM,Mar 14 2013 12:50PM,0,03/15/2014 12:00:00 AM,[37.7891192216837,-122.395881037809]
427837,Mini Mobile Food Catering,Truck,110000,01ST ST: CLEMENTINA ST to FOLSOM ST (245 - 299),245 01ST ST,3737012,3737,012,13MFF-0063,APPROVED,Cold Truck: Corn Dogs: Noodle Soups: Candy: Pre-packaged Snacks: Sandwiches: Chips: Coffee: Tea: Various Beverages,6014220.898,2114895.75,37.7879000978181,-122.394594036205,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0063&ExportPDF=1&Filename=13MFF-0063_schedule.pdf,,03/19/2013 02:01:19 PM,Mar 14 2013  2:35PM,1,03/15/2014 12:00:00 AM,[37.7879001115912,-122.394594036195]
438423,Steve's Mobile Deli,Truck,113000,01ST ST: LANSING ST to HARRISON ST \ I-80 E ON RAMP (362 - 399),390 01ST ST,3749058,3749,058,13MFF-0104,APPROVED,Cold Truck: Pre-packaged sandwiches: Burgers: Hot Dogs: Muffin Sandwiches: Enchiladas: Bagels: Burritos: Salads: Snacks: Beverages,6014531.475,2114230.765,37.7860914634251,-122.3934729318,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0104&ExportPDF=1&Filename=13MFF-0104_schedule.pdf,,06/11/2013 01:06:30 PM,Apr 18 2013  9:15AM,1,03/15/2014 12:00:00 AM,[37.7860914772,-122.39347293179]
337108,"Expresso Subito, LLC.",Truck,131000,02ND ST: JESSIE ST to MISSION ST (69 - 99),84 02ND ST,3707011,3707,011,11MFF-0167,APPROVED,Espresso Drinks,6012576.846,2115003.735,37.7881050616463,-122.400289778405,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=11MFF-0167&ExportPDF=1&Filename=11MFF-0167_schedule.pdf,,03/27/2013 10:01:59 AM,Sep 12 2011 10:53AM,0,03/15/2014 12:00:00 AM,[37.7881050754192,-122.400289778395]
427346,Mang Hang Catering,Truck,131000,02ND ST: JESSIE ST to MISSION ST (69 - 99),85 02ND ST,3708019,3708,019,13MFF-0039,REQUESTED,COLD TRUCK. Deli: bbq chicken skewer: Chinese spring roll: Chinese fried rice/noodle: fried chicken leg/wing: bbq chicken sandwich: chicken cheese burger: burrito: lumpia. Snack: sunflower seeds: muffins: chips: snickers: kit-kat: 10 types of chocolate. Drinks: Coke: 7-Up: Dr. Pepper: Pepsi: Redbull: Vitamin Water: Rockstar: Coconut Juice: Water. Hot drinks: coffee: tea.,6012696.635,2115129.488,37.7884570288289,-122.399884160566,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0039&ExportPDF=1&Filename=13MFF-0039_schedule.pdf,,,Mar 12 2013 10:39AM,1,03/15/2014 12:00:00 AM,[37.7884570426015,-122.399884160556]
359589,Walt's Catering,Truck,132000,02ND ST: MISSION ST to MINNA ST (100 - 130),101 02ND ST,3721089,3721,089,12MFF-0037,REQUESTED,Cold Truck: Pre-packaged sandwiches: salads: snacks: fruit: candy: various beverages,6012907.603,2114987.808,37.7880797678647,-122.399144290666,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0037&ExportPDF=1&Filename=12MFF-0037_schedule.pdf,,,Mar  9 2012 12:10PM,1,03/15/2013 12:00:00 AM,[37.7880797816376,-122.399144290656]
423103,Senor Sisig,Truck,132000,02ND ST: MISSION ST to MINNA ST (100 - 130),120 02ND ST,3722002,3722,002,13MFF-0010,APPROVED,Filipino fusion food: taco: burrito: nachos: rice plates,6012781.49,2114784.339,37.7875140607381,-122.399566331429,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0010&ExportPDF=1&Filename=13MFF-0010_schedule.pdf,,05/01/2013 11:48:41 AM,Feb 19 2013 11:23AM,0,03/15/2014 12:00:00 AM,[37.7875140745116,-122.399566331419]
427909,Quan Catering,Truck,135000,02ND ST: HOWARD ST to TEHAMA ST (200 - 227),222 02ND ST,3735063,3735,063,13MFF-0071,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,6013157.288,2114341.766,37.786319798284,-122.398235074249,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=13MFF-0071&ExportPDF=1&Filename=13MFF-0071_schedule.pdf,,03/29/2013 09:33:44 AM,Mar 15 2013 10:16AM,1,03/15/2014 12:00:00 AM,[37.7863198120587,-122.398235074239]
360506,Fisherman Fred's Catering,Truck,138000,02ND ST: FOLSOM ST to DOW PL (300 - 353),303 02ND ST,3749062,3749,062,12MFF-0067,EXPIRED,Cold Truck: Pre-packaged sandwiches: salads: hot dogs: burgers: beverages,6013920.865,2113951.874,37.7852917475308,-122.395565948022,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=12MFF-0067&ExportPDF=1&Filename=12MFF-0067_schedule.pdf,,03/14/2012 12:50:48 PM,Mar 14 2012 12:46PM,1,03/15/2013 12:00:00 AM,[37.7852917613064,-122.395565948012]
